,Date,Close
0,1981-05-01,
1,1981-05-02,
2,1981-05-04,
3,1981-05-06,
4,1981-05-07,
5,1981-05-08,
6,1981-05-09,
7,1981-05-12,
8,1981-05-13,
9,1981-05-14,
10,1981-05-15,
11,1981-05-16,
12,1981-05-18,
13,1981-05-19,
14,1981-05-20,
15,1981-05-21,
16,1981-05-22,
17,1981-05-23,
18,1981-05-25,
19,1981-05-26,
20,1981-05-27,
21,1981-05-28,
22,1981-05-29,
23,1981-05-30,
24,1981-06-01,
25,1981-06-02,
26,1981-06-03,
27,1981-06-04,
28,1981-06-05,
29,1981-06-08,123.11333333333333
30,1981-06-09,123.41666666666667
31,1981-06-10,123.75333333333333
32,1981-06-11,124.22333333333334
33,1981-06-12,124.74333333333333
34,1981-06-13,125.35333333333334
35,1981-06-15,126.04666666666667
36,1981-06-16,126.84666666666666
37,1981-06-17,127.53666666666666
38,1981-06-18,128.03333333333333
39,1981-06-19,128.60333333333332
40,1981-06-20,129.21666666666667
41,1981-06-22,129.79333333333332
42,1981-06-23,130.39666666666668
43,1981-06-24,131.08666666666667
44,1981-06-25,131.76666666666668
45,1981-06-26,132.47666666666666
46,1981-06-27,133.26666666666668
47,1981-06-29,134.16
48,1981-06-30,135.13666666666666
49,1981-07-01,136.25
50,1981-07-02,137.25666666666666
51,1981-07-03,138.25
52,1981-07-04,139.29333333333335
53,1981-07-06,140.44666666666666
54,1981-07-07,141.76333333333332
55,1981-07-08,142.94333333333333
56,1981-07-09,144.07666666666668
57,1981-07-10,145.11666666666667
58,1981-07-11,146.18333333333334
59,1981-07-13,147.12333333333336
60,1981-07-14,147.89333333333332
61,1981-07-15,148.60666666666668
62,1981-07-16,149.31333333333336
63,1981-07-18,150.06
64,1981-07-20,150.64666666666665
65,1981-07-21,151.17999999999998
66,1981-07-22,151.52333333333334
67,1981-07-23,151.87333333333333
68,1981-07-24,152.3066666666667
69,1981-07-25,152.66666666666666
70,1981-07-27,152.90333333333334
71,1981-07-28,153.09
72,1981-07-29,153.3
73,1981-07-30,153.4966666666667
