일시,광진구,동대문구,성동구,중랑구
20220101,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220102,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220103,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220104,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220105,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220106,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220107,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220108,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220109,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220110,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220111,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220112,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220113,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220114,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220115,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220116,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220117,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220118,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220119,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220120,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220121,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220122,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220123,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220124,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220125,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220126,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220127,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220128,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220129,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220130,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220131,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220201,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220202,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220203,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220204,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220205,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220206,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220207,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220208,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220209,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220210,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220211,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220212,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220213,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220214,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220215,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220216,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220217,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220218,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220219,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220220,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220221,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220222,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220223,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220224,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220225,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220226,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220227,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220228,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220301,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220302,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220303,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220304,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220305,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220306,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220307,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220308,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220309,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220310,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220311,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220312,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220313,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220314,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
20220315,7.535185146331787,4.418487310409546,6.433491039276123,3.2518140792846677
