일시,광진구,동대문구,성동구,중랑구
20220101,3.592,3.098,2.812,2.23
20220102,3.613,3.139,2.828,2.26
20220103,3.661,3.208,2.871,2.309
20220104,3.724,3.293,2.928,2.369
20220105,3.812,3.399,3.015,2.444
20220106,3.915,3.517,3.114,2.527
20220107,4.039,3.653,3.242,2.622
20220108,4.21,3.789,3.407,2.729
20220109,4.438,3.993,3.614,2.888
20220110,4.704,4.283,3.84,3.094
20220111,5.05,4.614,4.181,3.35
20220112,5.359,4.993,4.56,3.683
20220113,5.867,5.481,5.089,4.041
20220114,6.354,5.986,5.529,4.359
20220115,6.993,6.518,6.125,4.751
20220116,7.769,7.013,6.723,5.029
20220117,8.267,7.405,7.135,5.25
20220118,8.878,7.86,7.867,5.561
20220119,9.356,8.389,8.412,5.889
20220120,9.805,8.814,8.892,6.156
20220121,10.218,9.225,9.282,6.398
20220122,10.604,9.574,9.67,6.64
20220123,10.993,9.88,10.01,6.852
20220124,11.332,10.097,10.256,7.011
20220125,11.586,10.255,10.417,7.125
20220126,11.799,10.373,10.543,7.212
20220127,11.97,10.462,10.639,7.283
20220128,12.078,10.526,10.67,7.329
20220129,12.121,10.58,10.622,7.358
20220130,12.135,10.623,10.547,7.374
20220131,12.188,10.665,10.533,7.398
20220201,12.296,10.719,10.608,7.442
20220202,12.419,10.786,10.707,7.493
20220203,12.53,10.865,10.784,7.543
20220204,12.614,10.934,10.834,7.582
20220205,12.681,10.977,10.868,7.608
20220206,12.748,10.999,10.889,7.624
20220207,12.803,11.003,10.881,7.631
20220208,12.79,10.977,10.789,7.613
20220209,12.741,10.926,10.657,7.575
20220210,12.751,10.905,10.607,7.559
20220211,12.79,10.93,10.612,7.571
20220212,12.82,10.976,10.624,7.593
20220213,12.825,11.019,10.613,7.607
20220214,12.833,11.059,10.624,7.624
20220215,12.865,11.096,10.677,7.649
20220216,12.905,11.119,10.738,7.671
20220217,12.911,11.114,10.747,7.67
20220218,12.852,11.07,10.673,7.637
20220219,12.774,11.001,10.564,7.587
20220220,12.717,10.931,10.463,7.537
20220221,12.65,10.874,10.347,7.488
20220222,12.548,10.828,10.199,7.437
20220223,12.472,10.815,10.104,7.409
20220224,12.458,10.823,10.102,7.412
20220225,12.484,10.844,10.155,7.434
20220226,12.506,10.871,10.206,7.456
20220227,12.499,10.889,10.231,7.468
