ID,monthlyRent(us_dollar)
Test_0000,184.53174632348538
Test_0001,251.5549360540214
Test_0002,334.0646368050934
Test_0003,179.70107982970106
Test_0004,101.44940156207876
Test_0005,110.34779943436023
Test_0006,482.2720281648382
Test_0007,244.6356985514195
Test_0008,371.65130354908274
Test_0009,211.71303344980967
Test_0010,781.1071793536892
Test_0011,293.7506038904065
Test_0012,162.65350108988912
Test_0013,310.01080979231915
Test_0014,275.2716208352122
Test_0015,157.28635856833776
Test_0016,109.29624441855587
Test_0017,157.0382357745136
Test_0018,429.82166094327215
Test_0019,292.26005988199563
Test_0020,249.51293852302288
Test_0021,130.83775777859523
Test_0022,170.49161577842776
Test_0023,324.7852097069162
Test_0024,179.70107982970106
Test_0025,956.658224638016
Test_0026,194.58964288736252
Test_0027,255.23529399185884
Test_0028,170.90198842474973
Test_0029,374.6465092345053
Test_0030,225.53686137610327
Test_0031,337.471198361542
Test_0032,349.603820655381
Test_0033,371.65130354908274
Test_0034,281.2793555542299
Test_0035,423.26576370075225
Test_0036,272.1893729017849
Test_0037,169.5178980926755
Test_0038,242.10934447753917
Test_0039,766.5977613219058
Test_0040,266.6091655026588
Test_0041,136.99119011964265
Test_0042,205.3653725269276
Test_0043,459.75270946905573
Test_0044,257.61786493522345
Test_0045,481.19247839412265
Test_0046,306.0990105928194
Test_0047,205.89263532135863
Test_0048,174.16898888230813
Test_0049,930.4847065547602
Test_0050,639.2316897701162
Test_0051,240.60112984435565
Test_0052,239.36767321707308
Test_0053,398.261923820526
Test_0054,376.06897852409134
Test_0055,223.3238735699957
Test_0056,321.73769070447395
Test_0057,454.9171585708238
Test_0058,168.20510264567355
Test_0059,519.0469270866316
Test_0060,358.2285385765888
Test_0061,271.46431282736836
Test_0062,205.3653725269276
Test_0063,207.5210598505191
Test_0064,844.0626440575583
Test_0065,241.48706437100608
Test_0066,275.2716208352122
Test_0067,510.99087015887557
Test_0068,603.4598792431747
Test_0069,242.02166791713276
Test_0070,822.9357892345665
Test_0071,303.60875304746924
Test_0072,108.5882344902461
Test_0073,326.8740175999125
Test_0074,98.33706297243222
Test_0075,132.05892536842023
Test_0076,148.43376930966656
Test_0077,267.9537652505009
Test_0078,549.5732395107373
Test_0079,410.8721452115652
Test_0080,405.7195365472587
Test_0081,458.886069949187
Test_0082,306.16482043317285
Test_0083,306.0408542973477
Test_0084,429.3622688487182
