id,Class
219129,0.0041272156
219130,0.0024011782
219131,0.0010411459
219132,0.0012638295
219133,0.00014823391
219134,0.00010521788
219135,0.00067070685
219136,0.00051181286
219137,0.00057541707
219138,0.0006757038
219139,0.0004499248
219140,0.0006360224
219141,0.00046600465
219142,0.0008505512
219143,0.00064240827
219144,0.00028855167
219145,0.005001077
219146,0.00023206354
219147,0.0027015065
219148,0.0010764065
219149,0.0005173279
219150,0.0018079961
219151,0.00064285024
219152,0.0028982644
219153,0.010303567
219154,0.0005957174
219155,0.00036186812
219156,0.00070521794
219157,0.00113202
219158,0.0013703465
219159,0.01184367
219160,0.00086837553
219161,0.00029195458
219162,0.006466421
219163,0.0007543298
219164,0.0012407654
219165,0.000927963
219166,0.0005963261
219167,0.00015373253
219168,0.0019020289
219169,0.0010337575
219170,0.0010253049
219171,0.0006444453
219172,0.0016141109
219173,0.00023292142
219174,0.0024546552
219175,0.0004944796
219176,0.0038168342
219177,0.0008496335
219178,0.0029215727
219179,0.0015186311
219180,0.00025921836
219181,0.0010476019
219182,0.0016765629
219183,0.00027471586
219184,0.00086222886
219185,0.00031097909
219186,0.001199695
219187,0.00055655
219188,0.00177038
219189,0.0004749916
219190,0.0074110096
219191,0.00018340544
219192,0.0009740212
219193,0.0008242411
219194,0.0003530489
219195,0.00075633905
219196,0.0007261004
219197,0.0009822655
219198,0.00055895344
219199,0.0019413639
219200,0.0001802713
219201,0.007761334
219202,0.001411252
219203,0.0051117083
219204,0.0021673897
219205,0.0005542942
219206,0.0022119163
219207,0.00093000074
219208,0.005913966
219209,0.00051547337
219210,0.002178594
219211,0.00023920245
219212,0.00045747115
219213,0.0011920092
219214,0.000583097
219215,0.001715504
219216,0.0054415027
219217,0.0009635704
219218,0.0037226547
219219,0.0026999903
219220,0.00046219668
219221,0.0016427092
219222,0.0014464047
219223,0.0013968697
219224,0.0069107614
219225,0.00065500475
219226,6.814978e-05
219227,0.0002903627
219228,0.000401265
219229,0.00012497102
219230,0.00021413185
219231,0.00053870137
219232,0.0008037958
219233,0.0008557094
219234,0.0008576382
219235,0.0018955313
219236,0.00041028444
219237,0.0021790667
219238,0.00048415805
219239,0.0015845079
219240,0.00018382621
219241,0.00055389863
219242,0.00056214666
219243,0.00038213696
219244,0.0006237275
219245,0.0012151507
219246,0.00024152201
219247,0.000738511
219248,0.00026677916
219249,0.00052303594
219250,0.00834964
219251,0.0027217336
219252,0.001259126
219253,0.0007573384
219254,0.0054456554
219255,0.0006632959
219256,0.00015123091
219257,8.5591935e-05
219258,0.0014056951
219259,0.00032346504
219260,0.0027810065
219261,0.0024196557
219262,0.0031251162
219263,0.000655108
219264,0.00055701466
219265,0.004083138
219266,0.0023232675
219267,0.003388385
219268,9.595062e-05
219269,0.0010328314
219270,0.00052422436
219271,0.00031001525
219272,0.00018791847
219273,0.00072495366
219274,0.004839719
219275,8.461859e-05
219276,0.0014266502
219277,0.0008342035
219278,0.000598945
219279,0.00025047953
219280,0.0013105016
219281,0.0097410055
219282,9.66373e-05
219283,0.00036290655
219284,0.00079108885
219285,0.0005753541
219286,0.0015205812
219287,0.0011122745
219288,0.0009087768
219289,0.0016894776
219290,0.00041967048
219291,0.0031064446
219292,8.7465014e-05
219293,0.0011222884
219294,0.00090494455
219295,0.0014217582
219296,0.00036884152
219297,0.0047355806
219298,0.0032773975
219299,0.00024697222
219300,0.00033557366
219301,0.00040709932
219302,0.00047162973
219303,0.00059258397
219304,0.0008130678
219305,0.0006780614
219306,0.00016398996
219307,0.00069495465
219308,0.00013467754
219309,0.00033964694
219310,0.0003794956
219311,0.0002875969
219312,0.0007436698
219313,0.00035556537
219314,0.0008497199
219315,0.00028972508
219316,0.0002854174
219317,0.0017123318
219318,0.002185782
219319,0.0010171147
219320,0.0005950221
219321,0.0026833175
219322,0.00024396935
219323,0.000861677
219324,0.00079132774
219325,0.00073271577
