,ID,Y_LABEL
0,TEST_0000,0
11,TEST_0011,0
12,TEST_0012,0
18,TEST_0018,0
20,TEST_0020,0
24,TEST_0024,0
30,TEST_0030,0
33,TEST_0033,0
36,TEST_0036,0
37,TEST_0037,0
42,TEST_0042,0
43,TEST_0043,0
45,TEST_0045,0
47,TEST_0047,0
50,TEST_0050,0
51,TEST_0051,0
52,TEST_0052,0
57,TEST_0057,0
62,TEST_0062,0
68,TEST_0068,0
75,TEST_0075,0
79,TEST_0079,0
82,TEST_0082,0
84,TEST_0084,0
86,TEST_0086,0
92,TEST_0092,0
95,TEST_0095,1
99,TEST_0099,0
107,TEST_0107,0
108,TEST_0108,0
114,TEST_0114,0
115,TEST_0115,0
130,TEST_0130,0
131,TEST_0131,0
133,TEST_0133,0
145,TEST_0145,0
147,TEST_0147,0
156,TEST_0156,0
162,TEST_0162,1
165,TEST_0165,0
169,TEST_0169,0
170,TEST_0170,0
176,TEST_0176,1
180,TEST_0180,0
181,TEST_0181,0
186,TEST_0186,0
187,TEST_0187,0
188,TEST_0188,0
190,TEST_0190,0
195,TEST_0195,0
196,TEST_0196,0
199,TEST_0199,0
200,TEST_0200,0
203,TEST_0203,0
206,TEST_0206,0
208,TEST_0208,1
209,TEST_0209,0
217,TEST_0217,0
226,TEST_0226,0
227,TEST_0227,0
229,TEST_0229,0
230,TEST_0230,0
233,TEST_0233,0
234,TEST_0234,0
237,TEST_0237,0
240,TEST_0240,0
241,TEST_0241,0
242,TEST_0242,0
250,TEST_0250,0
251,TEST_0251,0
260,TEST_0260,0
268,TEST_0268,0
272,TEST_0272,0
274,TEST_0274,0
275,TEST_0275,1
280,TEST_0280,0
281,TEST_0281,1
284,TEST_0284,0
291,TEST_0291,0
292,TEST_0292,0
294,TEST_0294,0
298,TEST_0298,1
300,TEST_0300,0
301,TEST_0301,0
302,TEST_0302,0
304,TEST_0304,0
305,TEST_0305,0
308,TEST_0308,1
309,TEST_0309,0
313,TEST_0313,0
314,TEST_0314,0
316,TEST_0316,0
317,TEST_0317,0
318,TEST_0318,1
321,TEST_0321,0
341,TEST_0341,0
343,TEST_0343,0
345,TEST_0345,0
347,TEST_0347,0
351,TEST_0351,0
362,TEST_0362,0
367,TEST_0367,0
368,TEST_0368,0
371,TEST_0371,0
373,TEST_0373,0
377,TEST_0377,0
382,TEST_0382,0
386,TEST_0386,1
387,TEST_0387,0
395,TEST_0395,0
398,TEST_0398,0
401,TEST_0401,0
406,TEST_0406,0
407,TEST_0407,0
417,TEST_0417,0
424,TEST_0424,0
433,TEST_0433,0
434,TEST_0434,0
440,TEST_0440,1
441,TEST_0441,0
442,TEST_0442,1
451,TEST_0451,0
459,TEST_0459,0
463,TEST_0463,0
464,TEST_0464,0
468,TEST_0468,0
469,TEST_0469,0
471,TEST_0471,0
475,TEST_0475,0
477,TEST_0477,0
478,TEST_0478,0
482,TEST_0482,0
493,TEST_0493,0
497,TEST_0497,1
500,TEST_0500,0
501,TEST_0501,0
504,TEST_0504,0
507,TEST_0507,0
510,TEST_0510,0
511,TEST_0511,1
513,TEST_0513,1
518,TEST_0518,0
521,TEST_0521,0
535,TEST_0535,0
536,TEST_0536,0
542,TEST_0542,0
544,TEST_0544,0
557,TEST_0557,0
558,TEST_0558,0
560,TEST_0560,0
562,TEST_0562,0
563,TEST_0563,0
568,TEST_0568,0
571,TEST_0571,0
573,TEST_0573,0
577,TEST_0577,1
579,TEST_0579,0
585,TEST_0585,0
587,TEST_0587,0
589,TEST_0589,0
591,TEST_0591,0
595,TEST_0595,0
596,TEST_0596,0
600,TEST_0600,0
606,TEST_0606,0
609,TEST_0609,0
610,TEST_0610,0
612,TEST_0612,1
615,TEST_0615,0
616,TEST_0616,0
628,TEST_0628,0
637,TEST_0637,0
643,TEST_0643,0
644,TEST_0644,0
646,TEST_0646,0
648,TEST_0648,0
651,TEST_0651,0
652,TEST_0652,0
655,TEST_0655,1
657,TEST_0657,0
658,TEST_0658,0
667,TEST_0667,0
670,TEST_0670,0
675,TEST_0675,0
685,TEST_0685,0
686,TEST_0686,0
691,TEST_0691,0
693,TEST_0693,0
696,TEST_0696,0
697,TEST_0697,0
702,TEST_0702,0
703,TEST_0703,0
715,TEST_0715,0
718,TEST_0718,0
719,TEST_0719,0
722,TEST_0722,0
724,TEST_0724,0
726,TEST_0726,0
727,TEST_0727,0
728,TEST_0728,0
734,TEST_0734,0
737,TEST_0737,0
742,TEST_0742,0
746,TEST_0746,0
755,TEST_0755,1
756,TEST_0756,0
772,TEST_0772,0
773,TEST_0773,0
775,TEST_0775,0
776,TEST_0776,0
777,TEST_0777,0
779,TEST_0779,0
782,TEST_0782,0
790,TEST_0790,0
794,TEST_0794,0
795,TEST_0795,0
796,TEST_0796,0
803,TEST_0803,1
805,TEST_0805,0
806,TEST_0806,0
808,TEST_0808,0
811,TEST_0811,0
812,TEST_0812,0
816,TEST_0816,0
818,TEST_0818,0
820,TEST_0820,0
821,TEST_0821,0
827,TEST_0827,0
829,TEST_0829,0
831,TEST_0831,0
833,TEST_0833,0
837,TEST_0837,0
838,TEST_0838,1
842,TEST_0842,0
846,TEST_0846,0
853,TEST_0853,0
