,ANONYMOUS_1,YEAR,ANONYMOUS_2,AG,CO,CR,CU,FE,H2O,MN,MO,NI,PQINDEX,TI,V,V40,ZN,Y_LABEL
2543,3163,2010,688,0,0,0,55,5,0.0,0,1,0,10,0,0,67.6,467,0
3348,7236,2017,200,0,0,0,7,25,0.0,0,0,0,13,0,0,53.9,456,0
6338,1352,2007,550,0,0,0,277,7,0.0,0,2,0,4,0,0,48.2,606,0
2325,1730,2016,200,0,0,1,2,12,0.0,0,0,0,12,0,0,44.4,259,0
2013,6104,2014,200,0,0,0,13,7,0.0,0,0,0,6,0,0,48.1,555,0
4045,1212,2008,200,0,0,0,171,12,0.0,0,0,0,185,0,0,46.2,630,0
9573,4207,2015,200,0,0,4,1,7,0.0,0,2,0,11,0,0,68.0,342,0
3987,2753,2016,200,0,0,0,24,14,0.0,0,0,0,12,0,0,61.2,48,0
3434,1323,2013,200,0,0,0,207,31,0.0,0,2,1,38,0,0,65.2,454,0
12149,3810,2015,200,0,0,4,2,12,0.0,0,0,0,20,0,0,44.7,232,0
7833,3625,2013,200,0,0,0,8,4,0.0,0,0,0,11,0,0,44.7,746,0
9730,1695,2015,200,0,0,0,5,3,0.0,0,0,0,8,0,0,44.9,708,0
11003,7723,2015,200,0,0,0,4,9,0.0,0,0,0,18,0,0,68.5,363,1
9825,5159,2018,200,0,0,3,8,15,0.0,0,0,0,5,0,0,58.8,256,0
8024,1318,2014,200,0,0,5,19,3,0.0,0,0,0,22,0,0,64.5,258,0
6795,2038,2009,1238,0,0,4,2,18,0.0,0,0,0,20,0,0,68.6,341,0
7003,2233,2009,200,0,0,1,121,88,0.0,1,1,0,42,0,0,61.3,451,0
2838,2369,2013,200,0,0,1,4,8,0.0,0,3,0,13,0,0,72.3,269,0
3016,1360,2016,560,0,0,0,25,5,0.0,0,0,0,15,0,0,45.3,738,0
10876,1708,2010,537,0,0,0,101,0,0.0,0,0,0,6,0,0,44.4,688,0
8926,1355,2010,555,0,0,3,42,74,0.0,1,0,0,25,0,0,69.7,470,1
10357,2574,2013,200,0,0,0,100,1,0.0,0,0,0,5,0,0,47.1,590,0
9822,2364,2009,200,0,0,1,193,72,0.0,1,0,0,17,0,0,47.5,451,0
7024,2341,2008,200,0,0,3,97,70,0.0,1,11,0,64,0,0,54.8,567,0
5316,1000,2016,200,0,0,0,4,3,0.0,0,0,0,15,0,0,44.5,667,0
9766,3449,2010,200,0,0,0,4,7,0.0,0,1,0,26,0,0,37.1,1201,1
11295,2008,2019,200,0,0,0,7,2,0.0,0,0,0,5,0,0,43.2,679,0
6228,1377,2009,550,0,0,0,350,184,0.0,2,1,0,19,0,0,43.3,629,1
2462,1161,2009,200,0,0,7,25,125,0.0,1,1,0,72,0,0,67.2,154,0
8259,4498,2015,200,0,0,2,3,11,0.0,0,2,0,20,0,0,50.3,364,0
5146,4627,2013,200,0,0,0,3,8,0.2,0,0,0,5,0,0,66.0,416,1
3228,1589,2011,200,0,0,0,142,39,0.0,0,0,0,16,0,0,45.9,646,0
610,1363,2008,563,0,0,0,151,1,0.0,0,1,0,10,0,0,43.6,662,0
6808,3796,2016,200,0,0,0,2,4,0.0,0,0,0,5,0,0,74.6,456,0
11706,1718,2010,200,0,0,0,194,79,0.0,1,0,0,6,0,0,48.3,587,0
10860,1360,2008,560,0,0,0,125,2,0.0,0,0,1,7,0,0,44.3,678,0
9493,1655,2011,200,0,0,1,13,12,0.0,0,0,0,11,0,0,56.8,566,0
8640,6504,2012,200,0,0,0,4,2,0.0,0,0,0,9,0,0,63.8,286,0
2380,1612,2014,200,0,0,0,8,2,0.0,0,0,0,16,0,0,45.6,809,0
2291,3797,2019,900,0,0,0,155,5,0.0,0,1,0,37,0,0,47.2,478,0
12251,6180,2012,200,0,0,1,10,7,0.0,0,0,0,12,0,0,52.8,274,0
9899,1331,2017,531,0,0,0,31,4,0.0,0,0,0,20,0,0,65.3,145,0
12901,6991,2011,200,0,0,0,171,1,0.0,0,1,0,5,0,0,43.7,574,0
4476,1958,2008,200,0,0,0,187,12,0.0,1,2,0,23,0,0,56.2,1114,0
13787,1219,2012,419,0,0,0,31,3,0.0,0,2,0,19,1,2,46.5,680,0
9595,5149,2013,200,0,0,0,6,11,0.0,0,0,0,9,0,0,63.8,63,0
812,1932,2019,200,0,0,0,74,1,0.0,0,0,0,13,0,0,45.3,522,0
7043,9096,2021,632,0,0,0,39,3,0.0,0,0,0,7,0,0,45.3,621,0
9540,1394,2007,594,0,0,0,77,47,0.0,1,1,1,34,0,0,56.6,452,0
1063,2614,2012,200,0,0,0,4,9,0.0,0,0,0,5,0,0,60.5,116,0
7695,1557,2011,200,0,0,0,164,5,0.0,0,0,0,5,0,0,44.7,671,0
13809,4593,2015,200,0,0,2,13,29,0.0,0,0,0,5,0,0,57.0,471,0
12076,1347,2016,200,0,0,0,9,6,0.0,0,0,0,34,0,0,46.9,768,0
10046,1370,2013,570,0,0,0,8,6,0.0,0,0,0,20,0,0,52.7,272,0
5581,1601,2020,451,0,0,0,11,6,0.0,0,0,0,24,0,0,51.7,644,0
2310,2789,2013,200,0,0,0,4,3,0.0,0,0,0,2,0,0,47.0,630,0
6001,3499,2015,200,0,0,0,11,15,0.0,0,0,0,9,0,0,43.9,620,0
6827,3734,2010,200,0,0,0,129,23,0.0,0,1,0,9,0,0,44.5,645,0
2048,1372,2009,200,0,0,0,104,32,0.0,0,1,0,11,0,0,50.3,506,0
4570,4201,2019,580,0,0,0,14,3,0.0,0,0,0,5,0,0,57.0,302,0
9938,2379,2016,200,0,0,0,4,2,0.0,0,0,0,17,0,0,45.8,723,0
12902,1186,2009,386,0,0,0,3,5,0.0,0,0,0,16,0,0,65.9,373,0
833,7705,2017,200,0,0,0,32,13,0.0,0,0,0,5,0,0,57.9,326,0
3071,2063,2013,200,0,0,0,0,4,0.0,0,0,0,9,0,0,62.1,714,0
9185,7102,2014,200,0,0,0,1,0,0.0,0,0,0,5,0,0,72.2,15,0
11306,8163,2015,200,0,0,0,7,3,0.0,0,0,0,21,0,0,46.8,537,0
12424,3526,2022,1200,0,0,0,45,4,0.0,0,0,0,5,0,0,60.9,280,0
7487,1000,2015,200,0,0,0,8,21,0.0,0,0,0,11,0,0,44.6,971,0
417,6546,2017,496,0,0,0,0,4,0.0,0,3,0,9,0,0,67.8,368,0
5952,4770,2012,200,0,0,0,8,12,0.0,0,0,0,54,0,0,68.6,304,0
3719,1699,2008,550,0,0,1,148,180,0.0,2,2,0,53,0,0,54.4,400,0
9846,2054,2007,375,0,0,0,189,6,0.0,1,1,0,18,0,0,28.8,480,0
3313,1227,2011,427,0,0,0,135,3,0.0,0,0,0,9,0,0,48.5,612,0
11724,1233,2010,200,0,0,2,5,20,0.0,0,2,0,26,0,0,69.3,291,0
1528,5212,2020,1031,0,0,0,7,5,0.0,0,0,0,11,0,0,44.4,727,0
11677,2033,2022,1233,0,0,0,17,0,0.0,0,0,0,5,0,0,44.2,629,0
2249,3139,2020,587,0,0,0,34,2,0.0,0,2,0,8,0,0,58.4,299,0
13823,3060,2012,200,0,0,0,582,67,0.0,1,0,0,17,0,0,43.6,528,1
12168,1714,2009,364,0,0,0,246,3,0.0,0,0,0,15,0,0,43.7,710,0
5699,4103,2016,200,1,0,0,12,8,0.0,0,0,0,10,0,0,47.3,546,0
14089,1552,2007,375,0,0,0,41,15,0.0,0,0,0,35,0,0,59.8,395,1
6597,2330,2009,200,0,0,0,136,2,0.0,0,0,0,10,0,0,45.4,672,1
5182,1338,2011,200,0,0,0,4,8,0.0,0,0,0,12,0,0,59.2,464,0
8505,1345,2015,545,0,0,0,10,5,0.0,0,0,1,35,0,0,44.6,694,0
11536,3361,2014,200,0,0,0,73,0,0.0,0,0,0,8,0,0,45.4,654,0
4482,1681,2008,550,0,0,0,172,5,0.0,0,1,0,4,0,0,43.7,878,0
1218,1597,2014,200,0,0,0,86,1,0.0,0,0,0,6,1,0,44.2,589,0
10035,1142,2007,342,0,0,5,99,78,0.0,1,8,0,23,0,0,58.2,538,0
9897,6331,2014,200,0,0,3,2,9,0.0,0,3,0,22,0,0,54.7,441,1
7928,1693,2019,200,0,0,0,6,1,0.0,0,0,0,5,0,0,69.4,25,0
1622,1698,2008,550,0,0,0,228,4,0.0,0,0,0,7,0,0,43.7,584,0
1853,1613,2010,200,0,0,0,174,64,0.0,1,0,0,20,0,0,36.1,530,0
14006,1666,2012,200,0,0,0,1,3,0.0,0,0,0,3,0,0,57.6,413,0
8943,1767,2013,200,0,0,5,1,3,0.0,0,0,0,13,0,0,63.0,624,0
5306,2075,2016,200,0,0,2,17,23,0.0,0,0,0,48,0,0,63.3,392,0
166,6083,2012,200,0,0,0,23,70,0.0,0,0,0,49,0,0,45.7,307,0
218,6992,2017,550,0,0,0,1,4,0.0,0,0,0,9,0,0,67.7,399,0
12106,1364,2011,200,0,0,1,0,4,0.0,0,0,0,3,0,0,66.1,458,0
5508,1359,2009,200,0,0,0,145,43,0.0,1,0,0,40,0,0,43.9,581,0
5800,2400,2010,200,0,0,0,116,79,0.0,0,0,0,20,0,0,57.0,353,0
7213,2195,2019,200,0,0,0,2,0,0.0,0,0,0,15,0,0,44.9,378,0
965,1753,2018,200,0,0,0,8,3,0.0,0,0,0,8,0,0,44.4,754,0
2894,1719,2016,200,0,0,1,6,28,0.0,0,0,0,5,0,0,46.2,350,0
2672,3307,2008,200,0,0,0,252,3,0.0,3,0,0,5,0,0,44.5,721,0
2100,5552,2016,200,1,0,1,4,8,0.0,0,0,0,2,0,0,66.4,235,0
9034,1403,2020,603,0,0,0,10,2,0.0,0,0,0,5,0,0,46.0,726,0
4264,1317,2010,200,0,0,0,21,10,0.0,0,6,0,9,0,0,44.4,689,0
13540,2059,2018,533,0,0,0,9,4,0.0,0,0,0,11,0,0,55.2,487,0
4946,2115,2021,1315,0,0,0,19,5,0.0,0,0,0,5,0,0,68.6,313,0
6185,4110,2011,200,0,0,0,4,8,0.0,0,0,0,17,0,0,69.9,292,1
441,1413,2016,200,0,0,0,1,0,0.0,0,0,0,18,0,0,44.6,412,0
6177,3770,2013,200,0,0,0,10,5,0.0,0,0,0,7,0,0,67.9,295,1
5219,1388,2022,588,0,0,0,9,0,0.0,0,0,0,6,0,0,44.7,610,0
8062,2024,2018,341,0,0,0,6,4,0.0,0,0,0,13,0,0,45.7,576,0
7298,1189,2011,389,0,0,0,5,3,0.0,0,0,0,6,0,0,45.1,686,0
2235,1996,2018,200,0,0,1,0,6,0.0,0,1,0,6,0,0,46.2,194,0
5428,7604,2021,435,0,0,0,25,2,0.0,0,0,0,9,0,0,66.4,170,0
4850,4787,2022,1227,0,0,0,23,2,0.0,0,0,0,6,0,0,68.0,197,0
2142,1352,2015,200,0,0,0,2,2,0.0,0,0,1,5,0,0,44.0,412,1
6302,4346,2019,360,0,0,0,6,2,0.0,0,0,0,7,0,0,41.5,381,0
12921,3455,2016,200,0,0,0,2,3,0.0,0,0,0,9,0,0,57.8,424,0
10288,1670,2016,200,0,0,0,8,3,0.0,0,0,0,5,0,0,47.6,722,0
9163,2354,2009,200,0,0,0,122,39,0.0,0,0,0,13,0,0,45.3,587,0
3577,2262,2012,200,0,0,3,92,14,0.0,0,0,0,11,0,0,56.2,627,0
214,2192,2014,200,0,0,0,0,4,0.0,0,0,0,5,0,0,70.5,282,0
948,5273,2012,200,0,0,0,105,2,0.0,0,0,0,5,0,0,44.5,687,1
1904,4137,2015,200,0,0,4,1,11,0.0,0,0,0,90,0,0,47.8,296,0
567,1516,2012,200,0,0,0,8,5,0.0,0,0,0,8,0,0,47.3,590,0
5195,2325,2009,200,0,0,0,158,9,0.0,0,0,0,17,0,0,46.4,575,0
1429,2033,2009,200,0,0,1,246,176,0.0,2,0,0,33,0,0,51.3,547,0
10385,1948,2008,375,0,0,0,132,5,0.0,0,0,0,11,0,0,41.4,588,0
11906,2811,2016,200,0,0,0,10,6,0.0,0,0,0,15,0,0,46.9,571,1
3800,1373,2012,573,0,0,0,1,3,0.0,0,3,0,8,0,0,49.6,523,0
1352,2351,2014,200,0,0,0,4,9,0.0,0,0,0,6,0,0,60.7,267,0
10236,7050,2017,200,0,0,0,7,6,0.0,0,0,0,7,0,0,60.9,428,0
4392,1151,2007,351,0,0,0,179,5,0.0,0,1,0,5,0,0,45.8,764,0
12988,1354,2008,200,0,0,0,143,77,0.0,1,1,0,13,0,0,45.3,544,0
5183,1700,2017,900,0,0,2,10,2,0.0,0,0,0,15,0,0,58.3,284,0
