,ID,Y_LABEL
2,TEST_0002,0
4,TEST_0004,0
19,TEST_0019,0
21,TEST_0021,0
38,TEST_0038,0
44,TEST_0044,0
54,TEST_0054,0
56,TEST_0056,0
65,TEST_0065,0
70,TEST_0070,0
73,TEST_0073,0
78,TEST_0078,0
87,TEST_0087,0
104,TEST_0104,0
110,TEST_0110,0
112,TEST_0112,0
118,TEST_0118,0
127,TEST_0127,0
129,TEST_0129,0
134,TEST_0134,0
135,TEST_0135,0
137,TEST_0137,0
153,TEST_0153,0
161,TEST_0161,0
177,TEST_0177,0
184,TEST_0184,0
191,TEST_0191,0
207,TEST_0207,0
213,TEST_0213,0
218,TEST_0218,0
222,TEST_0222,0
235,TEST_0235,0
239,TEST_0239,0
245,TEST_0245,1
246,TEST_0246,0
247,TEST_0247,0
249,TEST_0249,0
254,TEST_0254,0
256,TEST_0256,0
261,TEST_0261,0
279,TEST_0279,0
282,TEST_0282,0
283,TEST_0283,0
288,TEST_0288,0
289,TEST_0289,0
293,TEST_0293,0
295,TEST_0295,0
306,TEST_0306,0
325,TEST_0325,0
329,TEST_0329,0
332,TEST_0332,0
349,TEST_0349,0
354,TEST_0354,0
355,TEST_0355,0
357,TEST_0357,0
365,TEST_0365,0
385,TEST_0385,0
389,TEST_0389,0
390,TEST_0390,0
399,TEST_0399,0
400,TEST_0400,0
405,TEST_0405,0
412,TEST_0412,0
418,TEST_0418,0
422,TEST_0422,0
446,TEST_0446,0
449,TEST_0449,0
456,TEST_0456,0
474,TEST_0474,0
479,TEST_0479,0
480,TEST_0480,0
484,TEST_0484,0
485,TEST_0485,0
486,TEST_0486,0
490,TEST_0490,0
499,TEST_0499,0
503,TEST_0503,1
505,TEST_0505,0
509,TEST_0509,0
516,TEST_0516,0
525,TEST_0525,0
530,TEST_0530,0
533,TEST_0533,0
554,TEST_0554,0
575,TEST_0575,1
576,TEST_0576,1
583,TEST_0583,0
592,TEST_0592,0
599,TEST_0599,0
611,TEST_0611,0
613,TEST_0613,0
614,TEST_0614,0
622,TEST_0622,0
623,TEST_0623,0
624,TEST_0624,0
635,TEST_0635,0
639,TEST_0639,0
645,TEST_0645,0
654,TEST_0654,0
661,TEST_0661,0
669,TEST_0669,0
671,TEST_0671,0
683,TEST_0683,1
688,TEST_0688,0
694,TEST_0694,0
699,TEST_0699,0
700,TEST_0700,0
701,TEST_0701,0
706,TEST_0706,0
714,TEST_0714,0
725,TEST_0725,0
730,TEST_0730,0
735,TEST_0735,0
738,TEST_0738,0
740,TEST_0740,0
744,TEST_0744,0
745,TEST_0745,0
750,TEST_0750,0
757,TEST_0757,0
763,TEST_0763,0
767,TEST_0767,0
769,TEST_0769,0
778,TEST_0778,0
780,TEST_0780,0
781,TEST_0781,0
785,TEST_0785,0
788,TEST_0788,0
792,TEST_0792,0
825,TEST_0825,0
826,TEST_0826,0
834,TEST_0834,0
844,TEST_0844,0
845,TEST_0845,0
847,TEST_0847,0
875,TEST_0875,1
894,TEST_0894,0
895,TEST_0895,0
900,TEST_0900,0
902,TEST_0902,0
903,TEST_0903,0
914,TEST_0914,0
929,TEST_0929,0
930,TEST_0930,0
935,TEST_0935,0
939,TEST_0939,0
949,TEST_0949,0
957,TEST_0957,0
960,TEST_0960,0
974,TEST_0974,0
988,TEST_0988,0
994,TEST_0994,1
998,TEST_0998,0
1004,TEST_1004,0
1020,TEST_1020,0
1022,TEST_1022,0
1036,TEST_1036,0
1047,TEST_1047,0
1055,TEST_1055,0
1056,TEST_1056,0
1067,TEST_1067,0
1072,TEST_1072,0
1079,TEST_1079,0
1080,TEST_1080,0
1094,TEST_1094,0
