,ANONYMOUS_1,YEAR,ANONYMOUS_2,AG,CO,CR,CU,FE,H2O,MN,MO,NI,PQINDEX,TI,V,V40,ZN,Y_LABEL
9551,3796,2014,200,0,0,2,16,37,0.0,2,21,0,8,0,0,91.8,976,0
12896,1867,2009,1067,0,0,1,2,16,0.0,1,1,0,9,0,0,114.6,1272,0
10089,2737,2016,200,0,0,2,15,38,0.0,0,3,0,25,0,0,107.8,1305,0
10013,1000,2010,200,0,0,5,85,109,0.0,2,0,1,30,0,0,114.5,1046,0
12276,10238,2012,200,0,0,2,7,16,0.0,0,4,0,4,0,0,104.1,737,1
5757,7951,2007,200,0,0,1,1,14,0.0,0,1,0,17,0,0,96.1,1099,1
8453,5153,2012,200,0,0,2,2,16,0.0,0,246,0,9,0,0,111.8,1285,1
2554,2052,2007,375,0,0,2,2,16,0.0,0,0,0,4,0,0,90.1,1222,0
12337,1378,2012,200,0,0,0,5,8,0.0,0,251,0,9,0,0,103.4,1411,0
6199,2082,2013,200,0,0,0,4,41,0.0,0,38,0,17,0,0,101.6,1035,0
8075,2127,2014,200,0,0,0,4,22,0.0,0,0,0,2,0,0,91.0,1312,0
11282,1690,2013,890,0,0,0,2,19,0.0,0,0,0,3,0,0,92.9,1248,0
4226,2127,2014,200,0,0,0,0,6,0.0,0,0,0,11,0,0,92.1,1378,0
4463,2341,2008,550,0,0,5,12,37,0.0,1,42,0,9,0,0,87.3,1049,0
12375,4975,2017,200,0,0,0,2,29,0.0,4,0,0,16,0,0,116.9,1204,0
7099,4616,2015,200,0,0,0,12,36,0.0,0,5,0,14,0,0,94.3,1294,0
11764,2113,2009,200,0,0,3,4,90,0.0,1,0,0,6,3,0,69.7,502,0
588,1331,2008,389,0,0,2,30,27,0.0,2,17,1,14,1,0,95.1,1069,0
871,1739,2016,200,0,0,1,6,33,0.0,1,1,0,6,0,0,90.1,1029,0
8730,1715,2022,469,0,0,0,1,8,0.0,0,53,0,6,0,0,105.4,1086,0
13450,1317,2008,375,0,0,1,2,23,0.0,1,2,0,12,0,0,99.6,893,0
6211,1786,2012,200,0,0,0,6,23,0.0,0,2,0,5,0,0,86.7,1098,0
1983,3049,2008,200,0,0,4,20,49,0.0,1,2,0,15,1,1,103.8,1362,0
13881,2440,2017,1640,0,0,0,2,11,0.0,0,50,0,20,0,0,90.5,1049,0
13751,1723,2013,923,0,0,2,0,17,0.0,0,246,0,8,0,0,119.8,1342,0
3823,2403,2020,529,0,0,1,5,31,0.0,0,0,0,5,0,0,93.2,1027,0
1054,2259,2013,200,0,0,2,2,15,0.0,0,142,0,8,0,0,84.9,994,0
10178,1508,2013,200,0,0,0,6,16,0.0,0,3,0,4,0,0,100.2,1216,0
2271,1350,2017,477,0,0,0,0,10,0.0,0,0,0,5,0,0,101.5,1128,0
2447,1341,2008,550,1,0,2,8,18,0.0,1,192,0,6,0,0,113.6,1274,0
7838,5015,2011,200,0,0,0,2,4,0.0,0,262,0,17,0,0,118.5,1467,0
2661,6958,2017,558,0,0,1,61,49,0.0,1,65,0,16,0,0,92.6,706,0
3175,2233,2009,1433,0,0,1,1,12,0.0,1,70,0,18,0,0,130.2,937,0
11528,5011,2008,200,1,0,0,2,11,0.0,0,0,0,6,0,0,101.2,1156,0
10805,2111,2009,200,0,0,5,5,33,0.0,0,14,0,17,0,0,100.5,1153,0
13463,5575,2015,200,0,0,0,1,13,0.0,0,57,0,4,0,0,100.6,1046,0
6858,2118,2010,200,0,0,3,1,13,0.0,0,166,0,5,0,0,113.5,983,0
3519,2924,2014,200,0,0,4,24,36,0.0,0,244,0,3,0,0,109.1,1502,0
3280,1342,2017,550,0,0,0,0,9,0.0,0,45,0,9,0,0,104.7,1085,0
2788,2400,2008,200,0,0,3,2,13,0.0,1,263,1,14,0,0,124.0,1422,0
1373,1177,2011,377,0,0,0,3,15,0.0,0,2,0,8,0,0,99.1,1231,0
6418,5473,2018,200,0,0,1,2,14,0.0,0,177,0,10,0,0,127.7,1066,0
7843,2314,2009,200,0,0,0,0,20,0.0,0,4,0,20,0,0,94.6,999,0
5405,1206,2017,375,0,0,1,0,10,0.0,0,0,0,10,0,0,99.7,970,0
6979,1182,2009,382,0,0,2,4,43,0.0,0,32,0,35,0,0,98.9,833,0
13057,1357,2013,200,0,0,0,2,41,0.0,0,37,0,1,0,0,98.2,1020,0
2286,1000,2011,200,0,0,0,1,3,0.0,0,204,0,1,0,0,114.6,1153,0
674,1377,2008,200,0,0,1,3,12,0.0,1,217,0,12,0,0,111.3,1222,0
6414,11510,2013,200,0,0,4,57,48,0.0,2,20,0,7,0,0,86.2,1160,1
2037,3086,2013,200,0,0,2,2,21,0.0,0,8,0,24,0,1,94.3,1334,0
6252,6148,2014,200,0,0,2,4,13,0.0,0,1,0,17,0,0,97.6,1319,0
41,2918,2016,200,1,0,0,2,37,0.0,0,1,0,12,0,0,110.2,1161,0
10023,4026,2020,200,0,0,0,2,14,0.0,0,37,0,8,0,0,102.1,957,0
13583,1380,2014,200,0,0,7,4,33,0.0,1,2,0,9,0,0,98.6,1098,0
186,1528,2022,418,0,0,0,4,22,0.0,0,0,0,5,0,0,100.6,1074,0
2531,4248,2018,3350,0,0,0,1,15,0.0,0,0,0,7,0,0,98.1,1231,1
9409,7753,2017,200,0,0,0,1,16,0.0,0,2,0,13,0,0,100.2,1166,0
640,2008,2008,200,0,0,2,9,29,0.0,1,206,1,12,0,0,100.0,1285,0
798,7367,2014,200,0,0,2,3,21,0.0,0,250,0,8,0,0,109.7,1465,0
5321,5926,2019,200,0,0,1,0,10,0.0,0,0,0,9,0,0,100.5,1269,0
13135,3951,2016,200,0,0,0,3,9,0.0,0,0,0,5,0,0,101.5,1141,0
77,1662,2010,862,0,0,1,8,42,0.0,2,176,0,13,0,0,125.9,1055,1
9057,1548,2009,200,0,0,2,5,18,0.0,0,57,0,8,0,0,103.8,1102,0
7623,3105,2017,200,0,0,3,10,71,0.0,2,41,0,5,0,0,124.7,1190,0
8320,1439,2010,200,0,0,2,3,17,0.0,1,231,0,16,0,0,119.6,1343,0
6202,1789,2018,638,0,0,2,3,10,0.0,0,47,0,5,0,0,91.6,1345,0
1447,4005,2012,200,0,0,1,7,13,0.0,0,162,0,2,0,0,123.9,1102,0
2161,6859,2018,900,0,0,8,6,58,0.0,1,2,0,26,1,0,90.5,837,0
13394,6961,2014,200,0,0,1,1,10,0.0,0,0,0,6,0,0,94.6,1249,0
13589,2122,2011,200,0,0,1,2,19,0.0,0,229,0,6,0,0,115.9,1424,0
3080,5963,2013,200,0,0,1,1,12,0.0,0,5,0,7,0,0,111.3,1057,0
