,ANONYMOUS_1,YEAR,ANONYMOUS_2,AG,CO,CR,CU,FE,H2O,MN,MO,NI,PQINDEX,TI,V,V40,ZN,Y_LABEL
7662,2409,2021,1609,0,0,1,2,102,0.0,2,5,0,180,0,0,167.0,126,0
10012,2038,2009,200,0,0,0,7,59,0.0,0,2,0,60,0,0,147.4,43,0
13661,4128,2016,200,0,0,2,86,281,0.0,3,10,0,221,0,0,63.7,1133,0
8069,4880,2018,550,0,0,2,17,23,0.0,0,1,1,19,0,0,129.9,26,0
8286,3200,2020,463,0,0,4,0,287,0.0,3,0,2,254,3,0,126.8,6,0
12669,2443,2010,200,0,0,3,4,130,0.0,3,0,1,875,0,0,148.0,13,0
3493,1732,2018,900,0,0,1,1,283,0.0,2,0,0,940,0,0,135.6,72,0
11060,2394,2018,200,0,0,17,989,848,0.0,13,1,49,553,0,0,116.7,681,1
2312,1351,2013,200,0,0,3,0,83,0.0,0,2,0,112,0,0,132.1,96,0
4245,2084,2012,200,0,0,1,2,193,0.0,13,0,0,131,0,0,131.7,164,0
12123,3801,2018,200,0,0,2,0,190,0.0,3,0,0,247,0,0,135.7,39,0
11941,5729,2014,200,0,0,14,39,618,0.0,13,1,2,2460,2,0,137.0,50,0
10211,1000,2018,375,0,0,5,3,384,0.0,5,0,2,1562,3,0,141.3,29,0
9725,1448,2009,200,0,0,4,1,243,0.0,4,1,1,906,0,0,139.3,34,0
9632,2026,2011,200,0,1,10,9,353,0.0,7,1,2,1411,1,0,143.8,33,0
4453,3797,2019,1600,0,0,2,1,136,0.0,12,53,1,956,0,0,177.9,101,0
11550,3183,2013,200,0,0,1,9,182,0.0,2,0,0,140,0,0,123.7,25,0
13909,1390,2009,590,0,0,15,611,1160,0.0,14,4,31,1490,8,0,124.3,358,0
10925,1191,2007,391,0,0,4,2,182,0.0,3,1,1,1722,0,0,184.3,26,0
3233,2118,2010,200,0,0,6,14,665,0.0,9,15,1,344,0,0,71.5,1363,0
10335,3136,2011,200,0,0,0,3,30,0.0,0,0,0,54,0,0,129.6,13,0
10688,1527,2008,200,0,0,8,18,340,0.1,9,0,2,11434,0,0,193.7,33,0
3612,1737,2018,601,0,0,4,196,175,0.0,4,0,6,2056,0,0,114.8,142,0
11535,2358,2019,200,0,0,1,2,104,0.0,10,47,1,667,0,0,176.8,100,0
12366,1415,2022,615,0,0,7,217,323,0.0,5,0,8,71,0,0,138.5,126,0
10262,2065,2014,200,0,0,1,33,53,0.0,1,19,2,85,0,0,122.0,154,0
8392,1166,2015,366,1,0,0,8,50,0.0,1,0,0,83,0,0,116.7,1228,0
446,1340,2008,540,0,0,2,1,370,0.0,3,0,1,360,0,0,131.6,238,0
11994,2386,2018,1586,0,0,0,0,29,0.0,0,0,0,87,0,0,145.1,9,0
8225,2423,2007,200,0,0,10,446,464,0.0,8,37,15,1147,0,0,117.8,458,0
1472,1357,2008,375,0,0,1,4,92,0.0,1,4,1,84,0,0,143.2,82,0
1331,2045,2018,200,0,0,1,0,254,0.0,2,0,0,2867,0,0,135.3,11,0
7468,1361,2008,375,0,0,2,7,128,0.0,2,10,1,2992,0,0,141.4,56,1
9523,2364,2009,200,0,0,2,1,260,0.0,2,2,0,2601,0,0,136.3,32,0
1491,7035,2018,200,0,0,1,4,99,0.0,1,0,0,850,0,0,131.1,12,0
