,KEY_ID,YEAR,MONTH,DAY,ID_1,ID_2,ID_3,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20,VAR_21,VAR_22,VAR_23,VAR_24,VAR_25,VAR_26,VAR_27,VAR_28,VAR_29,VAR_30,VAR_31,VAR_32,VAR_33,VAR_34,VAR_35,VAR_36,VAR_37,VAR_38,VAR_39,VAR_40,VAR_41,VAR_42,VAR_43,VAR_44,VAR_45,VAR_46,VAR_47,VAR_48,VAR_49,VAR_50,VAR_51,VAR_52,VAR_53,VAR_54,target
0,532477000030,2021,11,25,5324770,5QUE126600R1,1B,1,2,3,7,8333,9,1, , ,40, ,3, ,5,30, ,1,G,8.64,150,8.3336,343.5819,334.7174,296.7939,0.0116,0.0045,1,660.0,,825.0,825.0,720.4,180.0,760.0,190.0,,1000.0,1025.0,1025.0,645.0,215.0,1150.0,230.0,1225.0,245.0,275.2,1100.4,70,0.0
1,532477000029,2021,11,25,5324770,5QUE126600R1,1B,1,2,3,7,8333, , , , , , ,3, ,5,30, ,1,G,8.64,150,9.222,271.43640000000005,308.1774,254.47920000000002,-0.0032,-0.0025,1,660.0,,824.5,824.5,720.0,180.0,759.6,190.0,,1000.0,1024.5,1024.5,644.7,214.9,1150.0,230.0,1225.5,245.0,275.2,1100.0,70,0.0
2,532477000028,2021,11,25,5324770,5QUE126600R1,1B,1,2,3,7,8333,9,1.2, , ,40, ,3, ,5,30, ,1,G,8.67,150,10.0308,277.4463,304.4606,263.7816,0.0004,-0.001,1,659.6,,824.5,824.5,720.0,179.9,759.6,190.0,,1000.0,1024.5,1025.0,644.7,215.1,1150.0,230.0,1225.0,245.0,274.9,1099.6,70,0.0
3,532477000009,2021,11,25,5324770,5QUE126600R1,1B,1,2,3,7,8333, , , , , , ,3, ,5,30, ,1,G,8.67,150,12.3928,314.046,330.2522,275.2731,0.0032,-0.001,1,659.6,,825.5,825.5,720.0,180.0,760.0,190.0,,1000.0,1025.0,1025.0,644.7,215.0,1150.0,230.1,1225.0,245.0,275.0,1100.0,70,0.0
4,532477000006,2021,11,25,5324770,5QUE126600R1,1B,1,2,3,7,8333,9,1.2, , ,40, ,3, ,5,30, ,1,G,8.64,150,13.8232,300.52979999999997,314.3006,277.3053,0.0004,-0.0014999999999999998,1,659.2,,825.0,824.5,720.0,180.0,760.0,190.0,,1000.0,1025.0,1025.0,644.7,214.9,1150.5,230.0,1225.0,245.0,275.0,1099.6,70,0.0
5,532477000003,2021,11,25,5324770,5QUE126600R1,1B,1,2,3,7,8333, , , , , , ,3, ,5,30, ,1,G,7.98,150,9.6124,287.8899,329.5616,252.40949999999998,-0.0048,-0.001,1,660.0,,825.0,825.0,720.4,180.1,760.0,190.0,,1000.0,1025.0,1025.0,645.0,214.9,1150.0,230.0,1225.0,244.9,274.9,1099.2,70,0.0
6,532477000020,2021,11,25,5324770,5QUE126600R1,1B,1,2,3,7,8333,9,1.2, , ,40, ,3, ,5,30, ,1,G,8.82,150,9.8316,344.154,325.4268,305.9637,0.0076,-0.011000000000000001,1,660.8,,826.0,826.0,720.4,180.1,760.4,190.1,,1000.0,1025.0,1025.0,645.3,215.0,1150.0,229.9,1225.0,245.0,275.0,1100.0,70,0.0
7,531173500020,2021,11,26,5311735,6QUEM1590059600,1S,4,2,3,7,8201,9,1.2, , ,40, ,3, ,5,30, ,1,G,39.63,150,15.3844,363.1986,358.227,303.225,0.0408,-0.0215,1,620.4,775.0,825.5,825.0,,180.0,760.0,190.1,800.0,1000.0,1025.0,1025.0,645.0,215.0,1150.5,,1275.5,255.0,275.1,1100.8,70,0.0
8,531173500023,2021,11,26,5311735,6QUEM1590059600,1S,4,2,3,7,8201, , , , , , ,3, ,5,30, ,1,G,39.51,150,15.5244,361.4817,350.5714,308.3043,0.0304,0.0195,1,620.4,775.5,825.0,824.5,,180.0,759.6,189.9,800.0,1000.0,1025.0,1024.5,645.0,215.0,1149.5,,1274.5,254.9,274.9,1100.4,70,0.0
9,531173500028,2021,11,26,5311735,6QUEM1590059600,1S,4,2,3,7,8201, , , , , , ,3, ,5,30, ,1,G,39.54,150,13.0656,315.8724,341.2862,276.447,0.0184,0.0029999999999999996,1,620.4,776.0,825.5,825.5,,180.0,759.6,190.0,799.6,1000.0,1024.5,1025.0,645.0,214.9,1150.0,,1275.5,255.1,275.1,1101.2,70,0.0
